1865,pub.1092779752,10.1115/imece2013-63557,,,VAV System Operating in an Educational Building Under Tropical Conditions: Modeling and Simulation,"An educational building located in the Caribbean area of Colombia that uses a VAV system has been modeled and simulated in order to quantify the energy consumption. The energy values attained has been compared with the real energy consumption obtained from the data system. The results show that the error introduced are sensitive to the building mass at the beginning of the transient process, never the less, as the transient continues, the software shows good agreement with the experimental data. The maximum error at the beginning is 25% and decreases to 10%.Copyright © 2013 by ASME",,,,Volume 11: Emerging Technologies,,,2013-11-15,2013,2014-04-02,2013-11-15,,,v011t06a023-v011t06a023,Closed,Proceeding,"Alvarez, Oscar; Sanjuan, Marco; Amaya, Fabian; Bula, Antonio","Alvarez, Oscar (Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco (Universidad del Norte, Barranquilla, Colombia); Amaya, Fabian (Universidad del Norte, Barranquilla, Colombia); Bula, Antonio (Universidad del Norte, Barranquilla, Colombia)",,"Alvarez, Oscar (Universidad del Norte); Sanjuan, Marco (Universidad del Norte); Amaya, Fabian (Universidad del Norte); Bula, Antonio (Universidad del Norte)",1,0,,0.11,,https://app.dimensions.ai/details/publication/pub.1092779752,40 Engineering; 41 Environmental Sciences; 4104 Environmental Management,7 Affordable and Clean Energy
1860,pub.1039408725,10.1016/s0123-9015(13)70184-7,,,"Análisis morfológico e inmunohistoquímico de carcinoma apocrino mamario, infltrant puro y mixto, asociado o no a carcinoma in situ","IntroducciónEl carcinoma apocrino mamario es una forma poco común con morfología propia, originado en ductos de la glándula.Objetivo: Caracterizar morfológica e inmunohistoquímicamente el carcinoma apocrino mamario.Materiales y métodosn=24 carcinomas apocrinos o con rasgos apocrinos, puros y mixtos, componente in situ asociado, para evaluar expresión inmunohistoquímica del receptor de andrógenos (AR), receptor de estrógenos (ER), receptor de progesterona (PR), gross-cistyc-disease-proteína (GCDFP-15), BCL2,KI67 y ERB-2 en áreas infiltrantes e intraepiteliales, estudiando amplificación génica ERB-2 en cromosoma 17 por FISH.Resultados11 casos puros expresaron: AR (100%), ER (18%), PR (18%), GCDFP (63%), BCL2 (54%), KI67 (28%) y ERB-2 (28%) con positividad de GCDFP-15 (100%) en áreas in-situ. 13 tumores mixtos: AR (58%), ER (46%), PR (46%), GCDFP-15 (50%), BCL2 (33%), KI67 (58%) y ERB-2 (16%), con positividad GCDFP-15 (100%) en áreas in-situ. Las áreas in-situ expresan GCDFP-15 en todos los casos, con una reducción de la expresión en zonas de infiltración al 63 y 50% en tumores puros y mixtos, respectivamente.ConclusionesLos carcinomas apocrinos puros deben distinguirse de los mixtos mediante examen morfológico detallado y por perfil inmunohistoquímico.",,,Revista Colombiana de Cancerología,,,,2013-12,2013,,2013-12,17,4,174,Closed,Article,"Toloza, Raúl García; Machado, Isidro; Ruiz, Lisette; Llombart-Bosch, Antonio","Toloza, Raúl García (Grupo o dependencia: Universidad del Norte); Machado, Isidro (Grupo o dependencia: Universidad del Norte); Ruiz, Lisette (Grupo o dependencia: Universidad del Norte); Llombart-Bosch, Antonio (Grupo o dependencia: Universidad del Norte)",,"Toloza, Raúl García (Grupo o dependencia: Universidad del Norte); Machado, Isidro (Grupo o dependencia: Universidad del Norte); Ruiz, Lisette (Grupo o dependencia: Universidad del Norte); Llombart-Bosch, Antonio (Grupo o dependencia: Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1039408725,,
1859,pub.1068922234,10.2112/si65-169.1,,,"Description of erosion processes in Spratt Bight (San Andrs Island, Colombia) using Sequential End Point Rates (EPR)","Martn-Prieto J.A., Roig-Munar, F.X., Pons G.X., Rodrguez-Perea A., Alvarado, M. and Mir-Gual M. 2013. Description of erosion processes in Spratt Bight (San Andrs Island, Colombia) using Sequential End Point Rates (EPR). San Andrs is a coral island located in the Colombian Caribbean, 700 km northwest of the main land. Twelve kilometers in length and three kilometers in width, it is one of the most populated islands with 2.612 inhabitants per square kilometer. Its economy is based on tourism. Despite being protected from storms and hurricanes by a chain of reefs that stretches across the north and east of the island, beaches suffer significant erosion. Spratt Bight is the biggest and the most important beach of the island. Temporal evolution of Spratt Bight was analyzed and the End Point Rate for several periods (from the year 1984 to 2010) has been calculated. Although beach nourishment between 1984 and 1990, erosive processes are dominant all over the beach. Erosion rates reach up to 35 m with an average of 1.3 m/year, in its central part. The other erosive sector is placed in the half north of the beach, with a maximum of 20 m and an average of 0.7 m/year. Detected erosion can be attributed to the construction of two perpendicular structures to the shoreline and a promenade located on top of the upper beach. The rigidity of these facilities does not allow the natural evolution of the beach, disconnecting the beach from the dunes and causing significant losses of sand by wind action.",,,Journal of Coastal Research,,,,2013-01-02,2013,,2013-01-02,65,sp1,997-1002,Closed,Article,"Martn-Prieto, Jose A.; Roig-Munar, Francesc X.; Pons, Guillem X.; Rodrguez-Perea, Antoni; Alvarado, Manuel; Mir-Gual, Miquel","Martn-Prieto, Jose A. (Qu4tre consultoria ambiental Carritxeret Migjorn Gran (Menorca)); Roig-Munar, Francesc X. (Qu4tre consultoria ambiental Carritxeret Migjorn Gran (Menorca)); Pons, Guillem X. (Departament de Ci, ncies de la Terra, Universitat de les Illes Balears, 07122 Palma, Mallorca, Balearic Islands, Spain); Rodrguez-Perea, Antoni (Departament de Ci, ncies de la Terra, Universitat de les Illes Balears, 07122 Palma, Mallorca, Balearic Islands, Spain); Alvarado, Manuel (Instituto de Estudios Hidr, ulicos y Ambientales -IDEHA Universidad del Norte, Barranquilla, Colombia); Mir-Gual, Miquel (Departament de Ci, ncies de la Terra, Universitat de les Illes Balears, 07122 Palma, Mallorca, Balearic Islands, Spain)","Pons, Guillem X. (University of the Balearic Islands)","Martn-Prieto, Jose A. (Qu4tre consultoria ambiental Carritxeret Migjorn Gran (Menorca)); Roig-Munar, Francesc X. (Qu4tre consultoria ambiental Carritxeret Migjorn Gran (Menorca)); Pons, Guillem X. (University of the Balearic Islands); Rodrguez-Perea, Antoni (University of the Balearic Islands); Alvarado, Manuel (Universidad del Norte); Mir-Gual, Miquel (University of the Balearic Islands)",1,0,,0.13,,https://app.dimensions.ai/details/publication/pub.1068922234,37 Earth Sciences; 3705 Geology,15 Life on Land
1856,pub.1073836930,10.7567/jjap.52.055601,,,Formation of Titanium Nitride on the GaN(0001) Surface: A Density Functional Theory Study,"We have carried out density functional theory (DFT) calculations to study the role of titanium impurity atoms during gallium nitride (GaN) growth. Adsorption and incorporation of Ti atoms on GaN(0001) surface is examined and it is shown that Ti atoms preferentially adsorb at the T4 sites at low and high coverage. In addition, calculating the formation energy of multiple-impurity configurations, we constructed a surface phase diagram showing the energetically most stable structures as a function of Ti and Ga chemical potentials. Based on these, we find that incorporation of Ti atoms in the Ga-substitutional site is energetically more favorable compared with the Ti surface adsorption on the top layers. This effect leads to the formation of an interfacial crystalline titanium nitride (TiN) compound on the GaN(0001) surface, which can offer a good interfacial combination between Ti and GaN substrates.",,,Japanese Journal of Applied Physics,,,,2013-04-19,2013,2013-04-19,2013-05-01,52,5R,055601,Closed,Article,"Ortega-Lopez, César; López-Perez, William; González-Hernández, Rafael","Ortega-Lopez, César (Grupo Avanzado de Materiales y Sistemas Complejos–GAMASCO, Universidad de Córdoba, Montería, Colombia); López-Perez, William (Grupo de Investigación en Física Aplicada, Departamento de Física, Universidad del Norte, Barranquilla, Colombia); González-Hernández, Rafael (Grupo de Investigación en Física Aplicada, Departamento de Física, Universidad del Norte, Barranquilla, Colombia)",,"Ortega-Lopez, César (University of Córdoba); López-Perez, William (Universidad del Norte); González-Hernández, Rafael (Universidad del Norte)",2,0,,0.44,,https://app.dimensions.ai/details/publication/pub.1073836930,51 Physical Sciences; 5104 Condensed Matter Physics,
1850,pub.1000031088,10.1016/s0123-9015(13)70181-1,,,"Mortalidad por cáncer de mama, pulmón, cérvix, próstata y colon en la ciudad de barranquilla durante los años 1950-2000","IntroducciónLa mortalidad por cáncer permite abordar aspectos epidemiológicos y de salud pública.ObjetivoDescribir mortalidad por cáncer de mama-pulmón-cérvix- próstata-colon en Barranquilla, durante 1950-2000.Materiales y métodosSe estudiaron 2.456 fallecimientos por cáncer (años 1950 a 1999) tomados de certificados de defunción digitalizados de la Biblioteca Piloto del Caribe, digitados en Excel. Se estimaron las tasas de mortalidad para estos tumores específicos. El número de habitantes fue tomado de datos oficiales de los censos de 1951, 1964, 1973, 1985 y 1993, con cálculos de periodos intercensales.ResultadosPara mama, próstata y pulmón se observaron aumentos desde 1970-1974, pasando de tasas < 0,11/10.000 habitantes (50s), a 0,4, 0,3 y 0,36 para próstata, mama y pulmón (90s). Colon disminuyó: 0,19 (50s) a 0,07 (90s); cérvix repuntó 0,2 (60s), descendió 0,02 (80s) y aumentó a 0,1 (90s).ConclusionesCada tipo de cáncer muestra variaciones importantes a través de los años, que deben ser analizados a la luz de las políticas de salud pública en cada período.",,,Revista Colombiana de Cancerología,,,,2013-12,2013,,2013-12,17,4,173,Closed,Article,"Moranth, Rusvelt Vargas; Bilbao, Jorge; Alcocer, Adalgisa; Bonnet, Laura; Chacón, Ayder; Mendivil, César; Pérez, Jessica","Moranth, Rusvelt Vargas (Grupo o dependencia: Universidad del Norte); Bilbao, Jorge (Grupo o dependencia: Universidad del Norte); Alcocer, Adalgisa (Grupo o dependencia: Universidad del Norte); Bonnet, Laura (Grupo o dependencia: Universidad del Norte); Chacón, Ayder (Grupo o dependencia: Universidad del Norte); Mendivil, César (Grupo o dependencia: Universidad del Norte); Pérez, Jessica (Grupo o dependencia: Universidad del Norte)",,"Moranth, Rusvelt Vargas (Grupo o dependencia: Universidad del Norte); Bilbao, Jorge (Grupo o dependencia: Universidad del Norte); Alcocer, Adalgisa (Grupo o dependencia: Universidad del Norte); Bonnet, Laura (Grupo o dependencia: Universidad del Norte); Chacón, Ayder (Grupo o dependencia: Universidad del Norte); Mendivil, César (Grupo o dependencia: Universidad del Norte); Pérez, Jessica (Grupo o dependencia: Universidad del Norte)",0,0,,,,https://app.dimensions.ai/details/publication/pub.1000031088,,
1848,pub.1093216191,10.1109/i2mtc.2013.6555566,,,Thermal Analysis of GMAW Process Using Finite Element Method and Experimental data,"This paper presents a transient thermal analysis using Finite Element Method (FEM) to model the heat input effect of the Gas Metal Arc Welding (GMAW) process in plates of Al-6061-T6 with 4.8 mm of thickness. To validate the numerical results, a set of experiments were developed measuring temperatures along a perpendicular line from the weld cord. A good agreement was found between numerical and experimental results. This model could be use as a tool to analyze microstructural changes on the material.",The authors wish to express their gratitude to Aluminio Reynolds Santo Domingo Inc. for donating the material utilized in this investigation and to everybody in the Mechanical and Materials Engineering department from the Universidad Politécnica de Valencia (Spain) for their support in the laboratories.,,,2013 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),,,2013-05,2013,,,,,1001-1005,Closed,Proceeding,"Vargas, Javier A.; Zurek, Eduardo E.; Torres, Jaime E.; Hernandez, Roque J.; Pacheco, Jovanny A.","Vargas, Javier A. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Zurek, Eduardo E. (Department of System Engineering, Robotics and Intelligent Systems Research Group, Universidad Del Norte, Barranquilla, Colombia); Torres, Jaime E. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Hernandez, Roque J. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Pacheco, Jovanny A. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design)",,"Vargas, Javier A. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Zurek, Eduardo E. (Universidad del Norte); Torres, Jaime E. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Hernandez, Roque J. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design); Pacheco, Jovanny A. (Department of Mechanical Engineering, Research Group on Materials, Processes and Design)",1,0,,0.26,,https://app.dimensions.ai/details/publication/pub.1093216191,40 Engineering; 4014 Manufacturing Engineering,
1826,pub.1067973244,10.1557/opl.2013.1030,,,Discrete Gauge Fields for Graphene Membranes under Mechanical Strain,"ABSTRACT Mechanical strain creates strong gauge fields in graphene, offering the possibility of controlling its electronic properties. We developed a gauge field theory on a honeycomb lattice valid beyond first-order continuum elasticity. Along the way, we resolve a recent controversy on the theory of strain engineering in graphene: there are no K-point dependent gauge fields.",,,MRS Advances,,,,2013-09-02,2013,2013-09-02,2013,1549,,31-34,Closed,Article,"Sloan, James V.; Sanjuan, Alejandro A. Pacheco; Wang, Zhengfei; Horvath, Cedric M.; Barraza-Lopez, Salvador","Sloan, James V. (Department of Physics. University of Arkansas. Fayetteville, AR 72701, USA,); Sanjuan, Alejandro A. Pacheco (Departamento de Ingeniería Mecánica. Universidad del Norte. Barranquilla, Colombia,); Wang, Zhengfei (Department of Materials Science and Engineering. University of Utah. Salt Lake City, UT 84112, USA); Horvath, Cedric M. (Department of Physics. University of Arkansas. Fayetteville, AR 72701, USA,); Barraza-Lopez, Salvador (Department of Physics. University of Arkansas. Fayetteville, AR 72701, USA,)",,"Sloan, James V. (University of Arkansas at Fayetteville); Sanjuan, Alejandro A. Pacheco (Universidad del Norte); Wang, Zhengfei (University of Utah); Horvath, Cedric M. (University of Arkansas at Fayetteville); Barraza-Lopez, Salvador (University of Arkansas at Fayetteville)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1067973244,34 Chemical Sciences; 3403 Macromolecular and Materials Chemistry; 40 Engineering; 4016 Materials Engineering; 4018 Nanotechnology,
1819,pub.1061567825,10.1109/tcsi.2013.2284186,,,A Band-Reject Nested-PLL Clock Cleaner Using a Tunable MEMS Oscillator,"This paper presents the Band-Reject Nested-PLL (BRN-PLL) scheme that simultaneously improves filtering of a noisy input signal and relaxes the requirements for the loop bandwidth. As the architecture employs a modified PLL as a divider of another PLL, a stability analysis is presented to demonstrate suitable operation. The BRN-PLL close-to-carrier output noise is dominated by the PFD/CP of the inner PLL and the far-from-carrier output noise is dominated by the LO of the outer PLL. The PFD/CP noise can be reduced by approximately 20 dB when the output is disconnected from the VCO during idle states, and a low noise floor is achieved using a passively biased double-switching pair LC VCO. Additionally, to maintain lower integrated phase noise, the proposed scheme uses a high-$Q$ MEMS-based VCO to effectively smoothen the transition of the response between the two dominant noise sources. Absolute figures equal to ${-}105$ dBc/Hz at 1 kHz and ${-}155$ dBc/Hz at 10 MHz are measured from a 104 MHz clock-cleaner.","This work was supported by Integrated Device Technology, San Jose, CA, USA.",,IEEE Transactions on Circuits and Systems I Regular Papers,,,,2013-10-08,2013,2013-10-08,2014-03-01,61,3,653-662,Closed,Article,"Pardo, Mauricio; Ayazi, Farrokh","Pardo, Mauricio (Electrical and Electronics Engineering Department, Universidad del Norte, Barranquilla, Colombia); Ayazi, Farrokh (School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, 30332-0250, USA)","Pardo, Mauricio (Universidad del Norte)","Pardo, Mauricio (Universidad del Norte); Ayazi, Farrokh (Georgia Institute of Technology)",3,0,,0.81,,https://app.dimensions.ai/details/publication/pub.1061567825,"40 Engineering; 4009 Electronics, Sensors and Digital Hardware",
1812,pub.1016169173,10.1007/978-3-642-21198-0_57,,,Comportamiento Viscoelástico del Tejido Corneal,"The biomechanical study of the corneal tissue has been primarily focused on the cornea computational simulation under different stress-strain conditions. However, there is still very little information regarding the mechanical properties and response of the corneal tissue, information required to perform adequate numerical simulations. Taking this issue into account, stress relaxation displacement controlled tests and creep stress controlled tests were performed in order to characterize the time–dependent, viscoelastic behavior of corneal tissue. Vertical strips were obtained from porcine corneas and were subjected to uniaxial tensile tests under different stress-strain levels. A time dependent, viscoelastic behavior was initially observed for high stress levels and an empirical constitutive model is proposed based on the experimental data. Creep and relaxation tests at low stress levels, within physiological conditions, were also performed. Results indicate that the corneal tissue viscoelastic behavior may be neglected for low stress levels which considerably simplifies the constitutive model to be implemented in computational simulations.",,,IFMBE Proceedings,"V Latin American Congress on Biomedical Engineering CLAIB 2011 May 16-21, 2011, Habana, Cuba","José Folgueras Méndez, Tania Y. Aznielle Rodríguez, Carlos F. Calderón Marín, Susana Beatriz Llanusa Ruiz, Jorge Castro Medina, Haddid Vega Vázquez, Maylen Carballo Barreda, Rafael Rodríguez Rojas",,2013,2013,,2013,33,,222-225,Closed,Chapter,"Ramírez, F.; Tellez, J. F.; Arciniegas, A.; Guzmán, A. F.","Ramírez, F. (Departamento de Ingeniería Civil y Ambiental, Universidad de Los Andes, Bogotá, Colombia); Tellez, J. F. (Departamento de Ingeniería Civil y Ambiental, Universidad de Los Andes, Bogotá, Colombia); Arciniegas, A. (Instituto Barraquer de America, Bogotá, Colombia); Guzmán, A. F. (Departamento de Ingeniería Civil, Universidad del Norte, Barranquilla, Colombia)","Ramírez, F. (Universidad de Los Andes)","Ramírez, F. (Universidad de Los Andes); Tellez, J. F. (Universidad de Los Andes); Arciniegas, A. (Instituto Barraquer de América); Guzmán, A. F. (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1016169173,40 Engineering; 4003 Biomedical Engineering,
1808,pub.1016412432,10.1177/1527476412474352,,,Ibero-American Online News Managers’ Goals and Handicaps in Managing Social Media,"This article presents the results of a study of social media uses and standards from the perspectives of online newspaper managers in Argentina, Colombia, Peru, Mexico, Venezuela, Spain, and Portugal. 1 Interviews with online news managers and a content analysis of journalists’ use of Facebook and Twitter accounts show that cultural, economic, and organizational factors handicap news outlets’ adoption of social media. At the same time, evidence shows that these professionals’ drive and enthusiasm for transitioning to online and using social media have made meaningful changes in the ways news is produced in the Ibero-American region.",,"Funding The authors received no financial support for the research, authorship, and/or publication of this article.",Television & New Media,,,,2013-02-19,2013,2013-02-19,2014-09,15,6,577-589,Closed,Article,"Said-Hung, Elias; Serrano-Tellería, Ana; García-De-Torres, Elvira; Calderín, Mabel; Rost, Alejandro; Arcila-Calderón, Carlos; Yezers’ka, Lyudmyla; Bólos, Concha Edo; Rojano, Miladys; Jerónimo, Pedro; Sánchez-Badillo, Jorge","Said-Hung, Elias (Universidad del Norte, Barranquilla, Colombia); Serrano-Tellería, Ana (Manager of European, National and International Cooperation Projects at Documenta: European Institute for the Training and Development); García-De-Torres, Elvira (CEU Cardenal Herrera University/ Valencian International University, Spain); Calderín, Mabel (Universidad Católica Andrés Bello, Venezuela); Rost, Alejandro (Universidad Nacional del Comahue, Argentina); Arcila-Calderón, Carlos (Universidad del Norte, Barranquilla, Colombia); Yezers’ka, Lyudmyla (Universidad de Piura, Peru); Bólos, Concha Edo (Universidad Complutense de Madrid, Spain); Rojano, Miladys (Universidad Católica Andrés Bello, Venezuela); Jerónimo, Pedro (Universidad de Oporto, Portugal); Sánchez-Badillo, Jorge (Universidad Nacional Autónoma de México, Mexico; Universidad Claustro de Sor Juana, Mexico)","Said-Hung, Elias (Universidad del Norte)","Said-Hung, Elias (Universidad del Norte); Serrano-Tellería, Ana (Manager of European, National and International Cooperation Projects at Documenta: European Institute for the Training and Development); García-De-Torres, Elvira (CEU Cardinal Herrera University); Calderín, Mabel (Andrés Bello Catholic University); Rost, Alejandro (National University of Comahue); Arcila-Calderón, Carlos (Universidad del Norte); Yezers’ka, Lyudmyla (University of Piura); Bólos, Concha Edo (Complutense University of Madrid); Rojano, Miladys (Andrés Bello Catholic University); Jerónimo, Pedro (Universidad de Oporto, Portugal); Sánchez-Badillo, Jorge (National Autonomous University of Mexico; University of the Cloister of Sor Juana)",13,5,,6.28,,https://app.dimensions.ai/details/publication/pub.1016412432,"36 Creative Arts and Writing; 3605 Screen and Digital Media; 47 Language, Communication and Culture; 4701 Communication and Media Studies",
1807,pub.1092839294,10.1115/es2013-18146,,,VAV System Operating in an Educational Building Under Tropical Conditions: Energy Analysis,"An educational building located in the Caribbean area of Colombia that uses a VAV system has been monitored in order to quantify the energy consumption. The energy values attained has been compared with a simulation of the building running with a constant volumetric flow system. The results show that a 43% and 18% energy reduction can be achieved for the ventilation system and for the entire air conditioning system that includes a chiller with variable primary pump, a variable air volume system and a variable cooling tower fan.Copyright © 2013 by ASME",,,,ASME 2013 7th International Conference on Energy Sustainability,,,2013-07-14,2013,2013-12-22,2013-07-14,,,v001t14a002-v001t14a002,Closed,Proceeding,"Alvarez, Oscar; Sanjuan, Marco; Amaya, Fabian; Bula, Antonio","Alvarez, Oscar (Universidad del Norte, Barranquilla, Colombia); Sanjuan, Marco (Universidad del Norte, Barranquilla, Colombia); Amaya, Fabian (Universidad del Norte, Barranquilla, Colombia); Bula, Antonio (Universidad del Norte, Barranquilla, Colombia)",,"Alvarez, Oscar (Universidad del Norte); Sanjuan, Marco (Universidad del Norte); Amaya, Fabian (Universidad del Norte); Bula, Antonio (Universidad del Norte)",0,0,,0.0,,https://app.dimensions.ai/details/publication/pub.1092839294,33 Built Environment and Design; 3301 Architecture,7 Affordable and Clean Energy
1801,pub.1027930092,10.1002/pssb.201248590,,,"First‐principles study of the structural, electronic, and thermodynamic properties of Sc1 — x Alx As alloys","Structural, electronic, and thermodynamic properties of Sc 1−x Al x As alloys were studied using first‐principles approaches. The calculations are based on full‐potential linearized‐augmented plane wave (FP‐LAPW) method, within density functional theory (DFT). The exchange‐correlation effect is treated by both local‐density approximation (LDA) and generalized‐gradient approximation (GGA). In the latter approach, both Perdew‐Burke–Ernzerhof (PBE) and Engel–Vosko (EV) functionals of the exchange‐correlation energy were used. Given that the binary precursor compounds ScAs and AlAs crystallize in rock‐salt and zinc‐blende, respectively, we made calculations for the ternary alloys in these two phases. The effect of composition x on structural parameters, band‐gap energies, mixing enthalpies, and phase diagrams was analyzed for  0, 0.25, 0.5, 0.75, 1. The effect of atomic composition on lattice constant, bulk modulus, and band‐gap energy shows nonlinear dependence on composition x . Deviations of the lattice constant from Vegard's law and deviations of the bulk modulus and gap‐energy from linear concentration dependence (LCD) were found. We have found a metallic character for rock‐salt Sc 1−x Al x As alloys, while the zinc‐blende Sc 1−x Al x As alloys are semiconductors. Our results show that the band‐gap undergoes a direct (  )’to‐indirect (  ) transition at a given aluminium composition. The physical origin of the band‐gap bowing in zinc‐blende Sc 1−x Al x As alloys was investigated. To study the thermodynamic stability of Sc 1−x Al x As alloys, a regular‐solution model was used. The calculated excess mixing enthalpy is positive over the entire aluminum composition range. \end Newabstract",This study was supported by DIDI‐Universidad del Norte. The calculations reported in this paper were performed using the computing facilities of the HIPERLAB‐cluster at the Universidad del Norte. The authors thank Carlos Abuchaibe Ferreira for useful comments.,,physica status solidi (b),,,,2013-07-25,2013,2013-07-25,2013-10,250,10,2163-2173,Closed,Article,"López‐Pérez, William; Simon‐Olivera, Nicolás; González‐Hernández, Rafael; Rodríguez, Jairo Arbey","López‐Pérez, William (Grupo de Investigación en Física Aplicada, Departamento de Física, Universidad del Norte, Barranquilla, Colombia); Simon‐Olivera, Nicolás (Grupo de Investigación en Física Aplicada, Departamento de Física, Universidad del Norte, Barranquilla, Colombia); González‐Hernández, Rafael (Grupo de Investigación en Física Aplicada, Departamento de Física, Universidad del Norte, Barranquilla, Colombia); Rodríguez, Jairo Arbey (Departamento de Física, Grupo de Estudio de Materiales, Universidad Nacional de Colombia, Bogotá, Colombia)","López‐Pérez, William (Universidad del Norte)","López‐Pérez, William (Universidad del Norte); Simon‐Olivera, Nicolás (Universidad del Norte); González‐Hernández, Rafael (Universidad del Norte); Rodríguez, Jairo Arbey (National University of Colombia)",2,1,,0.44,,https://app.dimensions.ai/details/publication/pub.1027930092,51 Physical Sciences; 5104 Condensed Matter Physics,
1776,pub.1053062958,10.1016/j.matdes.2013.05.081,,,Analysis of heat input effect on the mechanical properties of Al-6061-T6 alloy weld joints,"Plates of AA6061-T6 with 4.8mm of thickness were welded with an ER4043 electrode (1.19mm in diameter) using the typical simple butt joint to investigate the effect on the mechanical properties of aluminum alloy 6061-T6 due to the Gas Metal Arc Welding (GMAW) process. The parameters involved in the welding process were related to the variation of the yield strength and microhardness. A transient thermal analysis was developed to model the problem in a numerical form using Finite Element Method (FEM) and these results were compared with experimental data showing good agreement. It was observed that the amount of energy absorbed by the base material determines the maximum temperatures reached by the aluminum and microstructural changes produced by high metal temperatures, significantly influence the properties of the alloy. For a case with 120A, 18.0V and 5.26mm/s in travel speed, the reduction of yield strength was 45.1% and for Vickers microhardness was 45.2%. For another case with 140A, 20.5V and 5.36mm/s in travel speed, the reductions were 40.9% and 38.4% for yield strength and Vickers microhardness respectively. The transformation of precipitates β″ in β′ and β explain these changes.",AcknowledgmentsThe authors wish to express their gratitude to Aluminio Reynolds Santo Domingo Inc. for donating the material utilized in this investigation and to the Mechanical and Materials Engineering department from the Universidad Politécnica de Valencia (Spain) for their support in the Differential Scanning Calorimetry (DSC) and Transmission Electron Microscopy (TEM) laboratories.,,Materials & Design,,,,2013-12,2013,,2013-12,52,,556-564,Closed,Article,"Vargas, Javier A.; Torres, Jaime E.; Pacheco, Jovanny A.; Hernandez, Roque J.","Vargas, Javier A. (Department of Mechanical Engineering, Materials, Processes and Design Research Group, Universidad del Norte, Barranquilla, Colombia); Torres, Jaime E. (Department of Mechanical Engineering, Materials, Processes and Design Research Group, Universidad del Norte, Barranquilla, Colombia); Pacheco, Jovanny A. (Department of Mechanical Engineering, Materials, Processes and Design Research Group, Universidad del Norte, Barranquilla, Colombia); Hernandez, Roque J. (Department of Mechanical Engineering, Materials, Processes and Design Research Group, Universidad del Norte, Barranquilla, Colombia)","Hernandez, Roque J. (Universidad del Norte)","Vargas, Javier A. (Universidad del Norte); Torres, Jaime E. (Universidad del Norte); Pacheco, Jovanny A. (Universidad del Norte); Hernandez, Roque J. (Universidad del Norte)",79,16,,20.73,,https://app.dimensions.ai/details/publication/pub.1053062958,40 Engineering; 4014 Manufacturing Engineering,
1753,pub.1058345209,10.1080/08873267.2013.792199,,,Dysfunctional Personal Experiences and Existential Dilemmas,"This article presents a theoretical discussion of the results from the research, “An Existential Understanding of Anxiety: An Integration of the Ideas of May, Yalom, and Schneider.” It focuses on the development of dysfunctional experiences according to the theoretical perspectives of Rollo May, Irvin Yalom, and Kirk Schneider. Dysfunctional experiences emerge when human beings experience (implicitly or consciously) different existential dilemmas and are unable to make consistent decisions and confront the experience of anxiety that results from such contact. In this sense, dysfunctional experiences are not developed simply from the consciousness of existential givens, as suggested by Yalom (1980), but by the dialectical and paradoxical relationship with the following human dilemmas: life versus death, freedom versus determinisms, isolation versus intersubjectivity, meaning versus insignificancy, individuation versus adaptation, and sense of power versus impotence. This idea implies that anxiety and dysfunctional experiences could emerge, in daily life, from the need to take concrete decisions when faced with several possibilities or dilemmas, and not only from the awareness of those possibilities.",,,The Humanistic Psychologist,,,,2013-10,2013,2013-10,,41,4,371-383,Closed,Article,"De Castro, Alberto","De Castro, Alberto (Programa de Psicología, Universidad del Norte)","De Castro, Alberto (Programa de Psicología, Universidad del Norte)","De Castro, Alberto (Programa de Psicología, Universidad del Norte)",6,2,,0.88,,https://app.dimensions.ai/details/publication/pub.1058345209,52 Psychology; 5203 Clinical and Health Psychology,
