"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2023; Publication Type is Chapter; Open Access is Closed.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
261,pub.1155224246,10.1007/978-3-031-12382-5_121,,,The Impact of Branded Mobile Applications on Customer Loyalty,"This Study aims to investigate the impact of using branded mobile applications on customer loyalty. The population of the study consisted of all users of Pharmacy One’s mobile application in Jordan. The researcher used the purposive sampling by taking 2035 active users of the on-line applications from 70,251 downloader; 500 questionnaires were distributed randomly. To achieve the objective of the study, and to test hypotheses, the researcher used statistical program of social studies (SPSS) & (AMOS). The study results revealed that there is a statistically effect of using branded mobile applications on customer loyalty, based on the study results the researcher recommends managers and decision makers to improving the system of customer services in order to improve their loyalty, by reviewing the system after receiving feedback from customers through mobile applications. Also enhancing the quality of system information by ensuring that the content is relevant to customer requirements. and improving the perceived quality of the customer by identifying the expectations of the customers and seeking to achieve these expectations, so that the gap between what they expect and what they actually get.",,,Studies in Computational Intelligence,The Effect of Information Technology on Business and Marketing Intelligence Systems,"Muhammad Alshurideh, Barween Hikmat Al Kurdi, Ra’ed Masa’deh, Haitham M. Alzoubi, Said Salloum",,2023-02-09,2023,2023-02-09,2023,1056,,2215-2229,Closed,Chapter,"Shaqrah, MoayyadMohammed; Mohammad, Anber Abraheem Shlash; Aldaihani, Faraj Mazyed Faraj; Al-Hawary, Sulieman Ibraheem Shelash; Alshurideh, Muhammad Turki; AlTaweel, Ibrahim Rashed Soliaman; Abazeed, Riad Ahmad Mohammed; Mohammad, Ayat; Al Kurdi, D. Barween","Shaqrah, MoayyadMohammed (Researcher, Marketing Department, Faculty of Administrative and Financial Sciences, Petra University, P.O. Box: 961343, 11196, Amman, Jordan); Mohammad, Anber Abraheem Shlash (Marketing, Marketing Department, Faculty of Administrative and Financial Sciences, Petra University, P.O. Box: 961343, 11196, Amman, Jordan); Aldaihani, Faraj Mazyed Faraj (Kuwait Civil Aviation, Ishbiliyah Bloch 1, Street 122, Home 1, Kuwait, Kuwait); Al-Hawary, Sulieman Ibraheem Shelash (Department of Business Administration, Faculty of Economics and Administrative Sciences, Al Al-Bayt University, P.O.BOX 130040, 25113, Mafraq, Jordan); Alshurideh, Muhammad Turki (Department of Marketing, School of Business, The University of Jordan, 11942, Amman, Jordan; Department of Management, College of Business, University of Sharjah, 27272, Sharjah, United Arab Emirates); AlTaweel, Ibrahim Rashed Soliaman (Department of Business Administration, Faculty of Business School, Qussim University, Al Russ51452, P.O. BOX 6502, Al Russ City, Saudi Arabia); Abazeed, Riad Ahmad Mohammed (Business Management and Public Administration, Department of Business Administration, Faculty of Finance and Business Administration, Al Al-Bayt University, P.O. BOX 130040, 25113, Mafraq, Jordan); Mohammad, Ayat (Business and Finance Faculty, the World Islamic Science and Education University (WISE), Postal Code 11947, P.O. Box 1101, Amman, Jordan); Al Kurdi, D. Barween (Department of Marketing, Faculty of Economics and Administrative Sciences, The Hashemite University, Zarqa, Jordan)","Al-Hawary, Sulieman Ibraheem Shelash (Al al-Bayt University)","Shaqrah, MoayyadMohammed (Petra University); Mohammad, Anber Abraheem Shlash (Petra University); Aldaihani, Faraj Mazyed Faraj (Kuwait Civil Aviation, Ishbiliyah Bloch 1, Street 122, Home 1, Kuwait, Kuwait); Al-Hawary, Sulieman Ibraheem Shelash (Al al-Bayt University); Alshurideh, Muhammad Turki (University of Jordan; University of Sharjah); AlTaweel, Ibrahim Rashed Soliaman (Department of Business Administration, Faculty of Business School, Qussim University, Al Russ51452, P.O. BOX 6502, Al Russ City, Saudi Arabia); Abazeed, Riad Ahmad Mohammed (Al al-Bayt University); Mohammad, Ayat (World Islamic Sciences and Education University); Al Kurdi, D. Barween (Hashemite University)",21,21,,,,https://app.dimensions.ai/details/publication/pub.1155224246,46 Information and Computing Sciences; 4602 Artificial Intelligence; 4611 Machine Learning,
245,pub.1155224255,10.1007/978-3-031-12382-5_13,,,Impact of Social Media Marketing on Creating Brand Responsiveness,"The aim of the study to examine the Impact of social media marketing on creating brand responsiveness. It focused on public universities in Jordan. Data were primarily gathered through self-reported questionnaires creating by Google Forms which were distributed to a sample (785) student via email. In total, (564) responses were received including (38) invalid to statistical analysis due to uncompleted or inaccurate. Hence, the final sample contained (526) responses suitable to analysis requirements. Structural equation modeling (SEM) was conducted to test hypotheses. The results showed that social media marketing dimensions had impact on creating the response to the brand. However, the results indicated that the highest impact was for e-word of mouth. Based on the results of the study, the researchers recommend educating young people about the concepts associated with the use of marketing social media from breach of privacy and addiction to its use.",,,Studies in Computational Intelligence,The Effect of Information Technology on Business and Marketing Intelligence Systems,"Muhammad Alshurideh, Barween Hikmat Al Kurdi, Ra’ed Masa’deh, Haitham M. Alzoubi, Said Salloum",,2023-02-09,2023,2023-02-09,2023,1056,,241-257,Closed,Chapter,"Shamaileh, Nancy Abdullah; Alshura, Mohammed Saleem Khlif; Alshuqairat, Enas Ahmad; Mohammad, Anber Abraheem Shlash; Khalaylah, Zaki Abdellateef Khalaf; Al Kurdi, Barween; Al-Hawary, Sulieman Ibraheem Shelash; Alshurideh, Muhammad Turki; Al-mzary, Maali M.","Shamaileh, Nancy Abdullah (Department of Business Administration, School of Business, Al Al-Bayt University, P.O.Box 130040, 25113, Mafraq, Jordan); Alshura, Mohammed Saleem Khlif (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Alshuqairat, Enas Ahmad (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Mohammad, Anber Abraheem Shlash (Marketing Department, Faculty of Administrative and Financial Sciences, Petra University, P.O. Box 961343, 11196, Amman, Jordan); Khalaylah, Zaki Abdellateef Khalaf (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Al Kurdi, Barween (Department of Marketing, Faculty of Economics and Administrative Sciences, The Hashemite University, Zarqa, Jordan); Al-Hawary, Sulieman Ibraheem Shelash (Department of Business Administration, School of Business, Al Al-Bayt University, P.O.Box 130040, 25113, Mafraq, Jordan); Alshurideh, Muhammad Turki (Department of Marketing, School of Business, The University of Jordan, 11942, Amman, Jordan; Department of Management, College of Business, University of Sharjah, 27272, Sharjah, United Arab Emirates); Al-mzary, Maali M. (Department of Applied Science. Irbid College, Al-Balqa Applied University, Salt, Jordan)","Al-Hawary, Sulieman Ibraheem Shelash (Al al-Bayt University)","Shamaileh, Nancy Abdullah (Al al-Bayt University); Alshura, Mohammed Saleem Khlif (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Alshuqairat, Enas Ahmad (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Mohammad, Anber Abraheem Shlash (Petra University); Khalaylah, Zaki Abdellateef Khalaf (Management Department, Faculty of Money and Management, The World Islamic Science University, P.O. Box 1101, 11947, Amman, Jordan); Al Kurdi, Barween (Hashemite University); Al-Hawary, Sulieman Ibraheem Shelash (Al al-Bayt University); Alshurideh, Muhammad Turki (University of Jordan; University of Sharjah); Al-mzary, Maali M. (Al-Balqa Applied University)",18,18,,,,https://app.dimensions.ai/details/publication/pub.1155224255,"40 Engineering; 4007 Control Engineering, Mechatronics and Robotics; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4611 Machine Learning",
27,pub.1168776577,10.1007/978-3-031-17299-1_544,,,Consumer Price Index,,,,,Encyclopedia of Quality of Life and Well-Being Research,Filomena Maggino,,2023,2023,2024-02-11,2023,,,1337-1338,Closed,Chapter,"Fallis, George","Fallis, George (York University, Toronto, ON, Canada)","Fallis, George (York University)","Fallis, George (York University)",12,12,,,,https://app.dimensions.ai/details/publication/pub.1168776577,,
600,pub.1154705906,10.1016/bs.apar.2022.11.001,36707175,,Review of the metazoan parasites of the economically and ecologically important African sharptooth catfish Clarias gariepinus in Africa: Current status and novel records,"One of the most widely distributed African freshwater fish is the African sharptooth catfish Clarias gariepinus (Burchell) that is naturally distributed in 8 of the 10 ichthyofaunal regions of this continent. Clarias gariepinus is a highly valued and cheap staple to local communities and an ideal aquaculture species. Consequently, interest in the parasitic communities of C. gariepinus has increased as parasites may accidentally be ingested by humans when eating uncooked fish or can be introduced into culture systems through fish stocks supplied from local rivers which affect yield, growth, and marketability. This review provides an overview of the ∼107 metazoan parasite species known to parasitise C. gariepinus in Africa and their general life cycles, morphology, paratenic and post-cyclic infections, and the biogeography and validity of records are discussed. A brief overview is included on the application of some of these parasites in environmental studies and their link to human health.","This work is based on the research and researchers supported by the National Research Foundation (NRF) – South African Research Chairs Initiative of the Department of Science and Innovation (DSI) (Inland Fisheries and Freshwater Ecology, Grant no. 110507) and National Research Foundation (NRF) of South Africa (Project CPRR160429163437; P.I.: N.J. Smit; Grant No 120403; KA Hadfield, PI). Opinions, findings, conclusions and recommendations accepts no liability whatsoever in this regard. We acknowledge use of infrastructure and equipment provided by the NRF-SAIAB Research Platforms and the funding channelled through the NRF-SAIAB Institutional Support system. Precious Preye Ayawei is thanked for processing and capturing the SEM photomicrographs. The authors also extend their gratitude to Craig Rennie, Takudzwa Comfort Madzivanzira, and Josie South from SAIAB, Machaya Chomba, Kakoma Chinyawezhi (WWF, Zambia), and local liaison Fidelis Mutukelwa and Namunda Namunda (Mongu Harbour Master, Zambia), and the following Water Research Group members: Aline Acosta, Anrich Kock, Ruan Gerber, Chantelle Pretorius, Coret Hoogendoorn and Grietjie Stander for their support during fieldwork. The following authorities are thanked for approving permits for collection of fish in the regenevieve provinces. Ezemvelo KZN Wildlife (KwaZulu-Natal, permit Nos. OP 1075/2017, OP 1582/2018); the Department of Rural, Environmental and Agricultural Development (North West, permit no. HO 20/02/18–057 NW); the Department of Economic, Small Business Development, Tourism and Environmental Affairs (DESTEA, Free State, permit no. JM 4066/2018); the Department of Economic Development, Environmental Affairs and Tourism (Eastern Cape, permit no. CRO 20/18CR, CRO 22/18CR) and CapeNature (Western Cape, permit no. CN44-31-6790). The support of Leon Barkhuizen and his team (DESTEA, Free State) for collection of host specimens in the Free State is greatly appreciated. The Ministry of Fisheries and Livestock (Department of Fisheries, Mongu, Zambia) and World Wide Fund for Nature (WWF, Zambia) is thanked for their support and permission for joint research in the Upper Zambezi Basin, Zambia. This is contribution No. 717 from the NWU-Water Research Group.",,Advances in Parasitology,,,Humans; Animals; Parasites; Catfishes; Africa; Fish Diseases,2023-01-20,2023,2023-01-20,2023,119,Syst. Parasitol. 73 2009,65-222,Closed,Chapter,"Truter, Marliese; Hadfield, Kerry A; Smit, Nico J","Truter, Marliese (Water Research Group, Unit for Environmental Sciences and Management, North-West University, Potchefstroom, South Africa; South African Institute for Aquatic Biodiversity (NRF-SAIAB), Makhanda, South Africa.); Hadfield, Kerry A (Water Research Group, Unit for Environmental Sciences and Management, North-West University, Potchefstroom, South Africa.); Smit, Nico J (Water Research Group, Unit for Environmental Sciences and Management, North-West University, Potchefstroom, South Africa; South African Institute for Aquatic Biodiversity (NRF-SAIAB), Makhanda, South Africa. Electronic address: nico.smit@nwu.ac.za.)","Smit, Nico J (North-West University; South African Institute for Aquatic Biodiversity)","Truter, Marliese (North-West University; South African Institute for Aquatic Biodiversity); Hadfield, Kerry A (North-West University); Smit, Nico J (North-West University; South African Institute for Aquatic Biodiversity)",8,8,,,,https://app.dimensions.ai/details/publication/pub.1154705906,"30 Agricultural, Veterinary and Food Sciences; 3005 Fisheries Sciences",
329,pub.1160720724,10.1007/978-3-031-35317-8_53,,,Applying Ant Colony Optimisation When Choosing an Individual Learning Trajectory,"The effectiveness of learning depends in many ways on the organization of the educational process. These days, the educational environment is becoming more flexible and responsive to the needs of students. The traditional form of learning is expanding through the use of new approaches and teaching methods, learning systems, and information technology. Individual learning trajectory allows the learner to regulate the order of studying course modules and the pace of mastering the subject material. Decision-making in choosing the learning trajectory can be supported by specialized methods and tools. This paper proposes the use of ant colony optimisation to support decision making on the choice of an individual learning trajectory. #CSOC1120.",,,Lecture Notes in Networks and Systems,Networks and Systems in Cybernetics,"Radek Silhavy, Petr Silhavy",,2023-07-15,2023,2023-07-15,2023,723,,587-594,Closed,Chapter,"Deetjen-Ruiz, Rukiya; Ikonnikov, Oleg; Azizam, Shahzool Hazimin; García, Darío Salguero; Gavilán, Juan Carlos Orosco; Otcheskiy, Ivan; Tsarev, Roman","Deetjen-Ruiz, Rukiya (Zayed University, Abu Dhabi, United Arab Emirates); Ikonnikov, Oleg (Siberian Federal University, Krasnoyarsk, Russia; Reshetnev Siberian State University of Science and Technology, Krasnoyarsk, Russia); Azizam, Shahzool Hazimin (Universiti Sultan Zainal Abidin, Terengganu, Malaysia); García, Darío Salguero (Almería University, Almería, Spain); Gavilán, Juan Carlos Orosco (Universidad Privada del Norte, Lima, Perú); Otcheskiy, Ivan (Tyumen State University, Tyumen, Russia); Tsarev, Roman (MIREA - Russian Technological University (RTU MIREA), Moscow, Russia; Bauman Moscow State Technical University, Moscow, Russia)","Deetjen-Ruiz, Rukiya (Zayed University)","Deetjen-Ruiz, Rukiya (Zayed University); Ikonnikov, Oleg (Siberian Federal University; Siberian State Aerospace University); Azizam, Shahzool Hazimin (Sultan Zainal Abidin University); García, Darío Salguero (University of Almería); Gavilán, Juan Carlos Orosco (Private University of the North); Otcheskiy, Ivan (University of Tyumen); Tsarev, Roman (MIREA - Russian Technological University; Bauman Moscow State Technical University)",7,7,,,,https://app.dimensions.ai/details/publication/pub.1160720724,39 Education; 3901 Curriculum and Pedagogy; 46 Information and Computing Sciences,4 Quality Education
2004,pub.1157922299,10.1201/9781003429258-76,,,Environmental efficiency assessment of RCA inclusion as partial replacement of virgin aggregates in HMA and WMA,"Road infrastructure is one of the economic sectors with the most significant environmental impact on the planet. Nonetheless, the construction and preservation of pavements are essential for the sustained economic development of the communities. Therefore, it is necessary to find and implement methods, techniques, or designs that reduce the environmental burden caused by this industry. Hence, in this research effort, two sustainability alternatives are explored to optimize the design of traditional hot mix asphalt (HMA) from an eco-efficiency perspective, namely, recycle concrete aggregate (RCA) and warm mix asphalt (WMA). Specifically, the life cycle assessment (LCA) procedure was used to determine the optimal conditions for WMA production through chemical additive technology and the partial substitution of natural aggregates (NAs) by RCA. Accordingly, several asphalt mix designs were proposed to identify the influence of the design variables on the total environmental damage generated during the manufacturing processes. Coarse RCA contents of 0, 10, 20, 30 and 40% were evaluated for HMA and WMA. Regarding the WMAs, dosage combinations of RCA and chemical additive (0.1, 0.2, 0.3, and 0.4% by weight of asphalt binder) were assessed. The main findings of this case study were: (i) amounts of coarse RCA equal to or higher than 20% induce a more harmful environmental effect than that of NAs, this due to the increase in the asphalt binder demand that this waste material provokes; (ii) the additional environmental impacts associated with the chemical additives production are insignificant compared to the savings obtained by reducing mixing and compaction temperatures.","The authors express their sincere gratitude to the Administrative Department of Science, Technology, and Innovation (COLCIENCIAS) and the Universidad del Norte for funding this study through the “Research Project 745/2016, Contract 037-2017, No. 1215-745-59105”.",,,Roads and Airports Pavement Surface Characteristics,,,2023-05-10,2023,2023-05-10,,,,778-787,Closed,Chapter,"Polo-Mendoza, Rodrigo; Turbay, Emilio; Martinez-Arguelles, Gilberto; Peñabaena-Niebles, Rita","Polo-Mendoza, Rodrigo (Faculty of Science, Charles University, Prague, Czech Republic, Department of Civil and Environmental Engineering, Universidad del Norte, Barranquilla, Colombia); Turbay, Emilio (Department of Civil and Environmental Engineering, Universidad del Norte, Barranquilla, Colombia); Martinez-Arguelles, Gilberto (Department of Civil and Environmental Engineering, Universidad del Norte, Barranquilla, Colombia); Peñabaena-Niebles, Rita (Department of Industrial Engineering, Universidad del Norte, Barranquilla, Colombia)",,"Polo-Mendoza, Rodrigo (Charles University); Turbay, Emilio (Universidad del Norte); Martinez-Arguelles, Gilberto (Universidad del Norte); Peñabaena-Niebles, Rita (Universidad del Norte)",6,6,,,,https://app.dimensions.ai/details/publication/pub.1157922299,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering; 41 Environmental Sciences; 4104 Environmental Management,"12 Responsible Consumption and Production; 9 Industry, Innovation and Infrastructure"
939,pub.1156689895,10.4324/9781003035244-13,,,Systemic functional linguistics,"The chapter presents a perspective on discourse analysis from systemic functional linguistics (SFL), a theory and set of analytic tools developed by Michael Halliday as an ‘appliable’ linguistics that supports analysis of social issues. SFL sees language as a social semiotic that shapes and is shaped by its use in social contexts. The chapter offers a brief overview of the development of SFL and its major contributors and exemplifies analysis of grammatical metaphor in classroom discourse to illustrate how the theory connects context and language. The chapter then highlights the approaches and tools from SFL that have been used by discourse analysts from various fields to explore semiotic manifestations in the areas of education, social justice, health, memory, and politics, at different social, temporal, and spatial scales. It shows how, grounded in SFL’s theory of language, critical discourse analysts have developed work that offers both deconstructive approaches to social problems as well as celebratory and reconstructive approaches that indicate how such problems may be redressed. Recognizing the active role of language in social life, SFL offers a means of understanding social contexts as discursive situated practices. New directions in SFL discourse analysis are briefly outlined.",,,,The Routledge Handbook of Discourse Analysis,,,2023-03-30,2023,2023-03-30,2023-03-30,,,156-169,Closed,Chapter,"Schleppegrell, Mary J.; Oteíza, Teresa","Schleppegrell, Mary J. (); Oteíza, Teresa ()",,"Schleppegrell, Mary J. (); Oteíza, Teresa ()",5,5,,,,https://app.dimensions.ai/details/publication/pub.1156689895,"47 Language, Communication and Culture; 4703 Language Studies; 4704 Linguistics",
880,pub.1160229665,10.56687/9781529226119-018,,,Reparative Pedagogies,"This book explores the connections between sustainable futures and demands to decolonize education; conversations that often occur separately, despite their interdependencies. The idea of sustainable futures lies at the heart of contemporary education and development agendas, including UNESCO’s Futures of Education initiative, which aims to reimagine how knowledge and learning can shape the future of humanity and the planet by equipping learners with diverse ways of being and knowing. Yet, much of the knowledge, values and skills in formal education continues to be Eurocentric, and many education systems maintain colonial legacies of exclusion and violence. Protests, including those led by the Black Lives Matter, Rhodes Must Fall, Indigenous and other anti-colonial, anti-racist social movements, have called for education to be decolonized and for diverse knowledge systems, languages and values to be the basis for realizing equitable and sustainable futures. These demands have become accentuated by multiple crises, including the Covid-19 pandemic. The book looks at the journey towards decolonization and sustainable futures from theoretical and practitioner perspectives: introducing concepts that underpin debates about decolonized futures; bringing to the fore the epistemic injustice in the exclusion and marginalization of non-Western knowledge systems, languages and value systems; and exploring different approaches to praxis in schools, universities and society. It also develops a call for reparative futures, highlighting the need for acknowledgement and repair of past injustice and violence in order to build dignified and inclusive futures for all. Bringing together the perspectives of researchers, policy makers, activists, educators and practitioners, this book critically interrogates the Western-centric assumptions underpinning education and development agendas and the colonial legacies of violence they often uphold. The book considers the crucial connection between the idea of sustainable futures and the demand to decolonise education. Containing an innovative mixture of text, stories and poetry, it explores how decolonised futures can be conceived and enacted, offering theoretical and practical examples, including from practice in educational and cultural organisations. In doing so, the book highlights education’s potential role in facilitating processes of reparative justice that can contribute to decolonised futures. Bringing together the perspectives of researchers, policy makers, activists, educators and practitioners, this book critically interrogates the Western-centric assumptions underpinning education and development agendas and the colonial legacies of violence they often uphold. This chapter explores the idea of reparation through pedagogy. It draws on experiences across the Education, Justice and Memory network (EdJAM), which supports creative approaches to teaching and learning about past violence and injustice, supporting 25 projects in 13 countries led by educators, artists, activists and heritage-sector professionals. Using examples from EdJAM’s practice, the chapter describes features of reparative pedagogy as: dignifying, truth-telling, multiplicitous, responsible and creative. It illustrates these as petals of a flower; beautiful in their own right but working together to create something more. Conceptualizing pedagogy as reparative adds to theorizing around material, symbolic, epistemic and affective reparation and also recognizes the existing creative work that educators and students are doing towards reparation despite considerable odds.",,,,Decolonizing Education for Sustainable Futures,"Yvette Hutchinson, Artemio Arturo Cortez Ochoa, Julia Paulson, Leon Tikly",,2023-06-21,2023,2023-06-21,,,,220-240,Closed,Chapter,"Paulson, Julia","Paulson, Julia ()",,"Paulson, Julia ()",5,4,,,,https://app.dimensions.ai/details/publication/pub.1160229665,39 Education; 3904 Specialist Studies In Education,4 Quality Education
26,pub.1168770638,10.1007/978-3-031-17299-1_2972,,,COSMIN Methodology for Conducting Systematic Reviews of Patient-Reported Outcome Measures (PROMs),,,,,Encyclopedia of Quality of Life and Well-Being Research,Filomena Maggino,,2023,2023,2024-02-11,2023,,,1443-1445,Closed,Chapter,"Mokkink, Lidwine B.; de Vet, Henrica C. W.; Prinsen, Cecilia A.; Terwee, Caroline B.","Mokkink, Lidwine B. (Department of Epidemiology and Data Science, Amsterdam University Medical Centers, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Amsterdam Public Health Research Institute, Amsterdam, The Netherlands); de Vet, Henrica C. W. (Department of Epidemiology and Data Science, Amsterdam University Medical Centers, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Amsterdam Public Health Research Institute, Amsterdam, The Netherlands); Prinsen, Cecilia A. (Department of Epidemiology and Data Science, Amsterdam University Medical Centers, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Amsterdam Public Health Research Institute, Amsterdam, The Netherlands); Terwee, Caroline B. (Department of Epidemiology and Data Science, Amsterdam University Medical Centers, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands; Amsterdam Public Health Research Institute, Amsterdam, The Netherlands)","Mokkink, Lidwine B. (Vrije Universiteit Amsterdam; Amsterdam UMC Location VUmc)","Mokkink, Lidwine B. (Vrije Universiteit Amsterdam; Amsterdam UMC Location VUmc); de Vet, Henrica C. W. (Vrije Universiteit Amsterdam; Amsterdam UMC Location VUmc); Prinsen, Cecilia A. (Vrije Universiteit Amsterdam; Amsterdam UMC Location VUmc); Terwee, Caroline B. (Vrije Universiteit Amsterdam; Amsterdam UMC Location VUmc)",5,4,,,,https://app.dimensions.ai/details/publication/pub.1168770638,,
1752,pub.1156492424,10.1007/978-3-031-27915-7_66,,,Planning Annualized Hours with Flexible Contracts,"This study proposes and evaluates in a novel way a strategy for personnel planning, which combines the particular flexibility strategies i) Annualized hours and ii) flexible contracts. The problem is to plan a flexible workforce that minimizes the problems of overstaffing and understaffing in a retail store, during a time horizon of one year. The problem solution, involved resolving strategic and tactical decisions, its mean an a Tour Scheduling Problem, thus allowing to see the potential benefits of the proposed flexibility strategy. The results obtained show the important benefits, as well as their close link with workforce planning, in relation to operating costs, and robustness facing demand variability scenarios.",,,Lecture Notes on Data Engineering and Communications Technologies,IoT and Data Science in Engineering Management,"Fausto Pedro García Márquez, Isaac Segovia Ramírez, Pedro José Bernalte Sánchez, Alba Muñoz del Río",,2023-03-25,2023,2023-03-25,2023,160,,374-378,Closed,Chapter,"Porto, Andrés Felipe; Lusa, Amaia; Henao, César Augusto; Porto, Roberto","Porto, Andrés Felipe (Corporación Universitaria Americana, Barranquilla, Colombia; Universitat Politècnica de Catalunya, Barcelona, Spain); Lusa, Amaia (Universitat Politècnica de Catalunya, Barcelona, Spain); Henao, César Augusto (Universidad del Norte, Barranquilla, Colombia); Porto, Roberto (Corporación Politécnico Costa Atlántica, Barranquilla, Colombia)","Porto, Andrés Felipe (Corporación Universitaria Americana; Universitat Politècnica de Catalunya)","Porto, Andrés Felipe (Corporación Universitaria Americana; Universitat Politècnica de Catalunya); Lusa, Amaia (Universitat Politècnica de Catalunya); Henao, César Augusto (Universidad del Norte); Porto, Roberto (Politécnico de la Costa Atlántica)",4,4,,,,https://app.dimensions.ai/details/publication/pub.1156492424,"35 Commerce, Management, Tourism and Services; 3509 Transportation, Logistics and Supply Chains; 40 Engineering",
