"About the data: Exported on Oct 01, 2024. Criteria: '""Universidad del Norte"" OR ""universidad del norte"" OR ""University of the North"" OR ""university of the north"" OR ""Uninorte"" OR ""uninorte""' in full data; Publication Year is 2023; Open Access is Gold.  Note: For hyper-authorship publications with more than 100 authors the export does not include author names and affiliations. © 2024 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,Book editors,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1725,pub.1168220808,10.5354/0719-1472.2023.73700,,,In Memoriam: El legado de Thomas Francis Lynch a la arqueología andina y chilena,,,,Revista Chilena de Antropología,,,,2023-12-31,2023,2023-12-31,,,48,1-6,All OA; Gold,Article,"Rivera, Mario","Rivera, Mario (Chicago Field Museum of Natural History)",,"Rivera, Mario (Chicago Field Museum of Natural History)",0,0,,,https://revistadeantropologia.uchile.cl/index.php/RCA/article/download/73700/75630,https://app.dimensions.ai/details/publication/pub.1168220808,,
1392,pub.1167553286,10.17561/ae.v25n2.7716,,,Influencia del aprendizaje basado en equipos en la auto percepción de competencias docentes– fase cuantitativa,"This study aims to investigate how the planning and implementation of didactic units based on the TBL contributes to improving the self-perception of professional skills of Secondary Education teachers. This article deals with the quantitative stage of alarger mixed design. This stage consists of an experimental design pre-experiment type with pre-test / post-test. The instrument used is a teacher self-perception questionnaire adapted from the professional competency model proposed byCampo (2016); participants are 55 Secondary Education teachers from the central region of Uruguay. A significant improvement is observed in the self-perception of all the competencies investigated: planning of teaching and learning processes, pedagogical use of technology, implementation of teaching strategies, communication and student interaction, evaluation of learning and reflection on one’s own teaching.",,,Aula de Encuentro,,,,2023-12-31,2023,2023-12-31,,25,2,111-136,All OA; Gold,Article,"Rivero, Daniel Álvarez; García, María Paz Peña","Rivero, Daniel Álvarez (Consejo de Formación en Educación (Montevideo, Uruguay)); García, María Paz Peña (Centro Asociado UNED (Úbeda, Jaén))",,"Rivero, Daniel Álvarez (Consejo de Formación en Educación (Montevideo, Uruguay)); García, María Paz Peña (Centro Asociado UNED (Úbeda, Jaén))",0,0,,,https://revistaselectronicas.ujaen.es/index.php/ADE/article/download/7716/8269,https://app.dimensions.ai/details/publication/pub.1167553286,39 Education; 3901 Curriculum and Pedagogy; 3903 Education Systems,4 Quality Education
952,pub.1167560495,10.3390/educsci14010047,,,Artificial Intelligence in Higher Education: An Analysis of Existing Bibliometrics,"Since its origin in the 1950s, artificial intelligence (AI) has evolved from technological to educational applications. AI is emerging as an essential tool in education. Its integration into education promises the personalization and the globalization of learning. Despite its potential, it is crucial to consider its ethical challenges and uses. This bibliometric study sought to understand the current state of AI in higher education in order to provide a basis for future research. A bibliometric analysis was conducted between 2017 and 2023, using the Scopus database. The query was performed on 23 October 2023 and focused on titles, keywords, and abstracts. A total of 870 articles were found, and their metadata were analyzed after removing incorrect data. VOSviewer software was used to visualize the similarities, and the publications were studied by country, authors, and collaborations. A steady growth in AI studies in higher education was found, highlighting areas such as computer science and social sciences. China and the United States led in production and citations. Keywords such as “artificial intelligence”, “chatgpt”, and “machine learning” indicated trends and areas of interest.",,This research received no external funding.,Education Sciences,,,,2023-12-31,2023,2023-12-31,,14,1,47,All OA; Gold,Article,"López-Chila, Roberto; Llerena-Izquierdo, Joe; Sumba-Nacipucha, Nicolás; Cueva-Estrada, Jorge","López-Chila, Roberto (GieTICEA Research Group, Universidad Politécnica Salesiana, Guayaquil 010105, Ecuador;, jllerena@ups.edu.ec, (J.L.-I.);, nsumba@ups.edu.ec, (N.S.-N.)); Llerena-Izquierdo, Joe (GieTICEA Research Group, Universidad Politécnica Salesiana, Guayaquil 010105, Ecuador;, jllerena@ups.edu.ec, (J.L.-I.);, nsumba@ups.edu.ec, (N.S.-N.)); Sumba-Nacipucha, Nicolás (GieTICEA Research Group, Universidad Politécnica Salesiana, Guayaquil 010105, Ecuador;, jllerena@ups.edu.ec, (J.L.-I.);, nsumba@ups.edu.ec, (N.S.-N.); Social and Legal Sciences, Universidad Rey Juan Carlos, 28032 Madrid, Spain); Cueva-Estrada, Jorge (GieTICEA Research Group, Universidad Politécnica Salesiana, Guayaquil 010105, Ecuador;, jllerena@ups.edu.ec, (J.L.-I.);, nsumba@ups.edu.ec, (N.S.-N.); Social and Legal Sciences, Universidad Rey Juan Carlos, 28032 Madrid, Spain)","López-Chila, Roberto (Politecnica Salesiana University); Cueva-Estrada, Jorge (Politecnica Salesiana University; King Juan Carlos University)","López-Chila, Roberto (Politecnica Salesiana University); Llerena-Izquierdo, Joe (Politecnica Salesiana University); Sumba-Nacipucha, Nicolás (Politecnica Salesiana University; King Juan Carlos University); Cueva-Estrada, Jorge (Politecnica Salesiana University; King Juan Carlos University)",3,3,,,https://www.mdpi.com/2227-7102/14/1/47/pdf?version=1703988768,https://app.dimensions.ai/details/publication/pub.1167560495,39 Education; 3903 Education Systems,4 Quality Education
432,pub.1167631195,10.22320/07190700.2023.13.02.03,,,"Relevamiento del uso del “Cielo de barro y paja alivianado” como práctica cultural en la techumbre vernacular de la vivienda aymara de Arica y Parinacota, Chile","This article reviews the slipstraw ceiling technology known in the Aymara language as ""caruna.” The study was made in Aymara homes at more than 4,000 meters above sea level in the town of Tacora, in the region of Arica and Parinacota, Chile, as part of project 49204, financed by the National Cultural Heritage Service. It aims to recover this vernacular technique as an alternative to industrialized materials that have modified Andean housing and the quality of life in extreme climates over the last 25 years. Samples of materials used in this technique, reproduced by a local craftsman, were collected and analyzed in the laboratory to determine their thermal properties and workability. The energy performance of three homes in Tacora was also monitored to compare the results obtained with those of the laboratories. The findings revealed that the mud mold used in this ceiling technique is predominantly made from clay with medium compressibility and low thermal conductivity, which makes it apt for insulation in cold desert climates. Lightened clay and straw ceilings stand out in the local culture thanks to the availability of material resources and ease of installation. This study highlights the importance of preserving traditional knowledge, respecting ancestral knowledge, and improving the thermal performance of homes in the northern mountain range of Chile, Peru, and Bolivia, highlighting its relevance for developing sustainable and culturally relevant housing solutions.",,,Revista Hábitat Sustentable,,,,2023-12-31,2023,2023-12-31,,13,2,36-49,All OA; Gold,Article,"Alfaro-Malatesta, Sergio; Palme, Massimo; Cohen-Herera, Jocelyn","Alfaro-Malatesta, Sergio (Universidad Católica del Norte, Antofagasta, Chile); Palme, Massimo (Universidad Técnica Federico Santa María, Valparaíso, Chile); Cohen-Herera, Jocelyn (Independiente, Antofagasta , Chile)",,"Alfaro-Malatesta, Sergio (Catholic University of the North); Palme, Massimo (Federico Santa María Technical University); Cohen-Herera, Jocelyn (Independiente, Antofagasta , Chile)",0,0,,,https://revistas.ubiobio.cl/index.php/RHS/article/download/5662/4783,https://app.dimensions.ai/details/publication/pub.1167631195,"33 Built Environment and Design; 43 History, Heritage and Archaeology; 4302 Heritage, Archive and Museum Studies",7 Affordable and Clean Energy
428,pub.1168880535,10.15381/gtm.v26i52.26040,,,La importancia de la educación financiera para la reducción de la pobreza en Perú,"In Peru, according to the definition of the National Institute of Statistics and Data Processing (INEI, 2023), an individual in considered to be living in poverty if their monthly income is below PEN 415. Poverty decreased considerably from 2011 to 2019. However, after the COVID-19 pandemic, it has significantly increased, to the detriment of all progress made in the previous decade. Even though social welfare programs are a good option to fight poverty, it is necessary for these programs to complement their strategy with financial literacy to improve their effectiveness. This paper evaluates the current situation and the importance of financial literacy for the reduction of poverty in Peru. This research is descriptive, non-experimental and cross-sectional. The results of several studies conducted in various countries revealed that financial literacy is significantly effective to reduce poverty. It can be concluded that, in Peru, it is necessary to conduct more finance training programs in the Ayacucho, Cajamarca, Huánuco and Pasco regions, where the incidence of poverty is above 40%. It is also advisable to evaluate the effectiveness of financial literacy training through O'Connell's five-tier approach (2009).
En Perú, según la definición del Instituto Nacional de Estadística e Informática (INEI, 2023), se considera que una persona afronta situación de pobreza si tiene un ingreso mensual inferior a S/ 415. Esta se redujo notablemente desde el año 2011 hasta 2019. No obstante, luego de la pandemia del COVID-19, la pobreza ha aumentado significativamente en detrimento del avance registrado en la década previa. Si bien los programas sociales son una buena alternativa para combatir la pobreza, es necesario que estos programas complementen su estrategia con educación financiera para mejorar su efectividad. El presente trabajo académico evalúa la situación y la importancia de la educación financiera para la reducción de la pobreza en el Perú. En ese sentido, se realizó una investigación descriptiva, no experimental y transversal. Los resultados de varias investigaciones realizadas en diversos países revelaron que la educación financiera es significativamente efectiva para aminorar la pobreza. Se concluye que en Perú es necesario que se realicen más programas de capacitación en finanzas en los departamentos de Ayacucho, Cajamarca, Huánuco y Pasco, en donde la pobreza tiene una incidencia mayor al 40%. Asimismo, se recomienda evaluar la eficacia de las capacitaciones en educación financiera con la metodología de cinco niveles de O’Connell (2009).",,,Gestión en el Tercer Milenio,,,,2023-12-31,2023,2023-12-31,,26,52,395-408,All OA; Gold,Article,"Tocto, Roxana Helena Tramontana","Tocto, Roxana Helena Tramontana (Universidad Privada del Norte, Facultad de Negocios, Lima, Perú)",,"Tocto, Roxana Helena Tramontana (Private University of the North)",0,0,,,https://revistasinvestigacion.unmsm.edu.pe/index.php/administrativas/article/download/26040/20508,https://app.dimensions.ai/details/publication/pub.1168880535,44 Human Society; 4404 Development Studies; 48 Law and Legal Studies,1 No Poverty
299,pub.1168879740,10.15381/gtm.v26i52.27082,,,Emprendimiento y las diferentes estrategias para lograr la sostenibilidad del negocio,"The objective of this research was to identify the different strategies that entrepreneurs use in their businesses to achieve sustainability. The methodology was qualitative, descriptive, non-experimental, exploratory, and explanatory, with a non-systematic literature review in open databases Scielo and Redalyc, with the keywords ""entrepreneurship"", AND ""sustainability"", ""strategies"", ""competitive advantages"". The inclusion criteria applied were papers between the years 2016 and 2023 only, in both Spanish and English, and answering the research question; a total of 448 papers were obtained. The exclusion criteria were: the papers from years before the range given, languages other than Spanish and English, and not related to the subject or research question. Convenience sampling was applied and 10 research papers were selected. The results indicated that the entrepreneurs applied strategies to minimize costs and expenses, to maximize profit, to manage warehouses and inventories adequately, to search for better suppliers, to constantly innovate in their products, services and processes, to implement new business models, to apply technology, to constantly motivate their workers, to develop skills, considering workers as the main element, to develop customer empathy skills, to develop planning strategies, to analyze the environment in search of new opportunities, organization, leadership of managers, to control through management indicators, to search for international markets, among others. The research concluded that there is a great diversity of strategies used by entrepreneurs to achieve business sustainability.
La investigación tuvo como objetivo determinar las diferentes estrategias que los emprendedores realizan en sus negocios para lograr la sostenibilidad. La metodología fue cualitativa, descriptiva, no experimental, de enfoque exploratorio y explicativa, con revisión no sistemática de la literatura en bases de datos abiertas Scielo y Redalyc, con las palabras clave “emprendimiento”, AND “sostenibilidad”, “estrategias”, “ventajas competitivas”, con los criterios de inclusión de solo artículos entre los años 2016 al 2023, idioma español e inglés, y que respondieran la pregunta de investigación, obteniendo un total de 448 artículos. Los criterios de exclusión fueron los artículos de años al rango, idiomas diferentes al español e inglés, y que no relacionados con la temática y pregunta de investigación. Se aplicó un muestreo por conveniencia, seleccionando 10 artículos científicos. Los resultados señalaron que los emprendedores aplicaron estrategias de minimizar costos y gastos, de maximizar la utilidad, de una buena gestión de los almacenes, inventarios, búsqueda de mejores proveedores, innovación constante en productos, servicios y procesos, implementación de nuevos modelos de negocio, aplicación de la tecnología, motivación constante a los trabajadores, desarrollo de habilidades, considerando a los trabajadores como el principal elemento, al desarrollo de capacidades de empatía con el cliente, desarrollo de estrategias de planificación, análisis del entorno en busca de nuevas oportunidades, organización, liderazgo de los gerentes, control a través de indicadores de gestión, búsqueda de mercados internacionales, entre otras. La investigación concluyó que existe una gran diversidad de estrategias que emplean los emprendedores para lograr la sostenibilidad del negocio.",,,Gestión en el Tercer Milenio,,,,2023-12-31,2023,2023-12-31,,26,52,301-316,All OA; Gold,Article,"Diaz, Gaby Naldy Corimanya","Diaz, Gaby Naldy Corimanya (Universidad Privada del Norte, Facultad de Negocios, Lima, Perú)",,"Diaz, Gaby Naldy Corimanya (Private University of the North)",0,0,,,https://revistasinvestigacion.unmsm.edu.pe/index.php/administrativas/article/download/27082/20512,https://app.dimensions.ai/details/publication/pub.1168879740,,
225,pub.1167647344,10.23858/apa61.2023.3299,,,The Lviv Archaeological Milieu During World War,"The article deals with the scientific and museological activities of Lviv archaeologists during World War I. The focus is on the fate of archaeologists who were forced to serve in the army (Y. Pasternak, V. Hrebeniak); the state of scientific institutions of Lviv, and the living and working conditions of professors and teaching staff of the University of Lviv, as well as museum workers of the city, were analyzed. In addition, it is about stocking and inventorying the museum collections with archaeological finds, and attempts to restore the activities of museum institutions regardless of conditions (National Museum of Jan III Sobieski, Dzieduszycki Museum). The issue of the loss of human lives is not the least. During these years, Lviv archaeology lost a Polish professor of archaeology Karol Hadaczek and his student, the talented Ukrainian archaeologist Volodymyr Hrebeniak. It was found that the War stopped the development of archaeological science in Lviv and pushed it back for some time. Only in the post-War years, was it possible to restore field research, and publishing activities, replenish museum collections, and educate new personnel.",,,Archaeologia Polona,,,,2023-12-31,2023,2023-12-31,,61,,75-104,All OA; Gold,Article,"Bulyk, Natalia; Berest, Roman","Bulyk, Natalia (Ivan Krypiakevych Institute of Ukrainian Studies of NAS of Ukraine, Lviv (Ukraine)); Berest, Roman (Ivan Franko National University of Lviv, Lviv (Ukraine))",,"Bulyk, Natalia (I.Krypiakevych Institute of Ukrainian Studies National Academy of Sciences of Ukraine); Berest, Roman (Lviv University)",0,0,,,https://journals.iaepan.pl/apolona/article/download/3299/3385,https://app.dimensions.ai/details/publication/pub.1167647344,"43 History, Heritage and Archaeology; 4301 Archaeology; 4302 Heritage, Archive and Museum Studies; 4303 Historical Studies",
223,pub.1167560383,10.3390/buildings14010112,,,"Geopolymer Made from Kaolin, Diatomite, and Rice Husk Ash for Ceiling Thermal Insulation","In this study, geopolymers made of metakaolin (MK), diatomite (D), and rice husk ash (RHA) were developed for ceiling thermal insulation in houses to provide protection against cold temperatures. The influence of the constituent mixing ratio and the temperature of curing on the heat conductivity and compressive strength of the geopolymer was investigated. Specimens were formed according to a 10-level mix design with three replicates and subjected to curing at 40 °C and 80 °C. Heat conductivity and compressive strength were determined in accordance with established standards. The simplex lattice method was used to obtain the response surfaces, contour plots, and tracking curves. The geopolymers under study displayed a reduction in heat conductivity and an increase in compressive strength when the curing temperature was raised. The optimal mixing ratio to achieve a balance between the compressive strength and thermal conductivity of the geopolymers investigated was 0.50 MK and 0.50 RHA. Diatomite’s thermal insulation contribution is neutralized when crystals from the geopolymer gel fill the pore volume. The mixture’s optimal results were achieved when cured at 80 °C, demonstrating a thermal conductivity of 0.10 W/m·K and a compressive strength of 5.37 MPa.",We are grateful to the Universidad Privada del Norte and the Universidad Nacional de Trujillo for their logistical and technical cooperation with this project.,This research received no external funding.,Buildings,,,,2023-12-31,2023,2023-12-31,,14,1,112,All OA; Gold,Article,"Alvarado, Cinthya; Martínez-Cerna, Daniel; Alvarado-Quintana, Hernán","Alvarado, Cinthya (Carrera de Ingeniería Civil, Facultad de Ingeniería, Universidad Privada del Norte, Trujillo 13011, Peru); Martínez-Cerna, Daniel (Laboratorio de Materiales Cerámicos, Universidad Nacional de Trujillo, Trujillo 13011, Peru;, dmartinezc@unitru.edu.pe); Alvarado-Quintana, Hernán (Departamento de Ingeniería de Materiales, Universidad Nacional de Trujillo, Trujillo 13011, Peru;, halvarado@unitru.edu.pe)","Alvarado, Cinthya (Private University of the North)","Alvarado, Cinthya (Private University of the North); Martínez-Cerna, Daniel (National University of Trujillo); Alvarado-Quintana, Hernán (National University of Trujillo)",2,2,,,https://www.mdpi.com/2075-5309/14/1/112/pdf?version=1704015588,https://app.dimensions.ai/details/publication/pub.1167560383,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering,
246,pub.1167561131,10.3390/su16010365,,,Implementation of Environmental Engineering Clinics: A Proposal for an Active Learning Methodology for Undergraduate Students,"Quality education focused on quality, inclusion, and opportunity is one of the United Nations Sustainable Development Goals to reduce inequality in the knowledge of the people who are educated. In this sense, universities have a role in rethinking the teaching model, changing their strategies, and including new experiences based on active learning. This article makes a didactic methodological proposal for undergraduate and graduate students using learning experiences for solving regional environmental problems proposed by municipalities. This method considered creating an agreement, defining topics, preparing bases and study areas, analyzing problem solutions, and delivering products. The results showed the implementation of the environmental engineering clinics (ECCs) in five subjects of the curriculum, with the participation of sixty students, who solved problems from seven municipalities. The results showed a correct implementation of the active learning methodology, allowing for knowledge to be transferred in a real-life scenario, significantly facilitating student learning. The plan–do–check–act (PDCA) cycle provides a practical framework for learning while solving real-world challenges, empowering learners to personally engage with authentic and meaningful challenges within their communities. As was previously stated, this article presents a methodology that can be introduced in universities to improve the learning process through active learning and the link with real problems of the territories where they are located, which also allows for improving the connection with the environment, contributing significantly to the sustainability of the territories.",,This research was funded by ANID/FONDAP/15130015 and ANID/FONDAP/1523A0001 projects and Faculty of Engineering and Sciences of the Universidad de la Frontera.,Sustainability,,,,2023-12-30,2023,2023-12-30,,16,1,365,All OA; Gold,Article,"Rodríguez-Luna, Dante; Rubilar, Olga; Alvear, Marysol; Vera, Joelis; Riquelme, Marcia Zambrano","Rodríguez-Luna, Dante (Facultad de Ingeniería, Instituto de Ciencias Químicas Aplicadas, Universidad Autónoma de Chile, Santiago 8910060, Chile;, derodriguez@alu.ucam.edu); Rubilar, Olga (Departamento de Ingeniería Química, Universidad de La Frontera, Temuco 4811230, Chile;, olga.rubilar@ufrontera.cl); Alvear, Marysol (Departamento de Ciencias Químicas y Recursos Naturales, Universidad de La Frontera, Temuco 4811230, Chile;, marysol.alvear@ufrontera.cl); Vera, Joelis (Facultad de Ingeniería y Ciencias, Universidad de La Frontera, Temuco 4811230, Chile;, j.vera12@ufromail.cl); Riquelme, Marcia Zambrano (Departamento de Ingeniería Química, Universidad de La Frontera, Temuco 4811230, Chile;, olga.rubilar@ufrontera.cl)","Riquelme, Marcia Zambrano (University of La Frontera)","Rodríguez-Luna, Dante (Universidad Autónoma de Chile); Rubilar, Olga (University of La Frontera); Alvear, Marysol (University of La Frontera); Vera, Joelis (University of La Frontera); Riquelme, Marcia Zambrano (University of La Frontera)",1,1,,,https://www.mdpi.com/2071-1050/16/1/365/pdf?version=1703945141,https://app.dimensions.ai/details/publication/pub.1167561131,39 Education; 3901 Curriculum and Pedagogy; 3903 Education Systems,4 Quality Education
4465,pub.1167519693,10.3233/adr-230041,38225967,PMC10789289,Prevalence of Mild Cognitive Impairment in Southern Regions of Colombia,"Background: Recent reports suggest that by 2050 there will be an increase of around 310% of cases affected by dementia in Latin American countries. A previous study in a Southern region reported one of the highest prevalences of dementia in Latin America.
Objective: To investigate the prevalence of mild cognitive impairment associated with low education, rurality, and demographic characteristics.
Methods: A cross-sectional study recruited a community-dwelling sample of 823 adults from rural and urban areas of two Southern provinces of Colombia from 2020-2022. Participants were assessed with a neuropsychological protocol validated in Colombia. To obtain general and region-specific prevalence rates, age, sex, schooling, and socioeconomic level were considered and controlled for.
Results: Most of the participants reported low education and socioeconomic level, the participation of women was higher. It was determined that the prevalence of mild cognitive impairment (MCI) was 53.6%, with 56.6% in the province of Caquetá followed by 51.9% in the province of Huila. The amnestic MCI represented 42.6%, the amnestic multi-domain was 39%, the non-amnestic 16.55%, and the non-amnestic multi-domain 1.81%. Our participants reported comorbidities such as diabetes and hypertension. We also observed a relationship between exposure to pesticides and MCI.
Conclusions: We observed one of the highest prevalences of MCI in Latin America reported to date. Variables such as age, gender, and education proved risk factors for MCI in the explored regions. Our findings are very much in line with recent studies that highlight the influence of non-canonical risk factors of dementia in underrepresented countries from Latin America.","We thank the older adults for their participation and willingness to carry out the research, the community clubs of Huila and Caquetá.","This work was supported by The Science, Technology, and Innovation Fund- Huila of the General System of Royalties through the Ministry of Science, Technology, and Innovation of Colombia [BPIN 2020000100011] Universidad Surcolombiana and Universidad de la Amazonia, and [CONADI - Universidad Cooperativa de Colombia in agreement with Universidad Surcolombiana] under Grant [INV2384].",Journal of Alzheimer's Disease Reports,,,,2023-12-29,2023,2023-12-29,,7,1,1455-1464,All OA; Gold,Article,"Bonilla-Santos, Jasmin; González-Hernández, Alfredis; Cala-Martínez, Dorian Yisela; Gómez-Morales, Duván Fernando; Calceto-Garavito, Laura Natalia; Forero-Aldana, Arnulfo Eduardo; González-Montealegre, Rodrigo Alberto; Cumaco, Yeing Alexandra Cardona; Rojas-Bernal, Luz Angela; Zabaleta-Orozco, Mario Alberto; Parra, Mario Alfredo","Bonilla-Santos, Jasmin (Department of Psychology, Universidad Cooperativa de Colombia, Neiva, Colombia; Neurocognition and Psychophysiology Laboratory, Universidad Surcolombiana, Neiva, Colombia); González-Hernández, Alfredis (Department of Psychology, Universidad Surcolombiana, Neiva, Colombia); Cala-Martínez, Dorian Yisela (Department of Psychology, Universidad Cooperativa de Colombia, Neiva, Colombia; Neurocognition and Psychophysiology Laboratory, Universidad Surcolombiana, Neiva, Colombia); Gómez-Morales, Duván Fernando (Department of Psychology, Universidad Surcolombiana, Neiva, Colombia); Calceto-Garavito, Laura Natalia (Neurocognition and Psychophysiology Laboratory, Universidad Surcolombiana, Neiva, Colombia); Forero-Aldana, Arnulfo Eduardo (Neurocognition and Psychophysiology Laboratory, Universidad de la Amazonía, Florencia, Caquetá, Colombia); González-Montealegre, Rodrigo Alberto (Neurocognition and Psychophysiology Laboratory, Universidad Surcolombiana, Neiva, Colombia); Cumaco, Yeing Alexandra Cardona (Department of Psychology, Universidad de la Amazonía, Florencia, Caquetá, Colombia); Rojas-Bernal, Luz Angela (Instituto del cerebro, Hospital Universitario Mayor Méderi, Universidad del Rosario, Bogotá, Colombia; Clinical Neuropsychology, Universidad Surcolombiana, Neiva, Colombia); Zabaleta-Orozco, Mario Alberto (Hernando Moncaleano University Hospital, Neiva, Colombia); Parra, Mario Alfredo (Department of Psychological Sciences and Health, University of Strathclyde, Glasgow, UK)","González-Hernández, Alfredis (South Colombian University); Parra, Mario Alfredo (University of Strathclyde)","Bonilla-Santos, Jasmin (Cooperative University of Colombia; South Colombian University); González-Hernández, Alfredis (South Colombian University); Cala-Martínez, Dorian Yisela (Cooperative University of Colombia; South Colombian University); Gómez-Morales, Duván Fernando (South Colombian University); Calceto-Garavito, Laura Natalia (South Colombian University); Forero-Aldana, Arnulfo Eduardo (University of the Amazon); González-Montealegre, Rodrigo Alberto (South Colombian University); Cumaco, Yeing Alexandra Cardona (University of the Amazon); Rojas-Bernal, Luz Angela (Universidad del Rosario; South Colombian University); Zabaleta-Orozco, Mario Alberto (Hernando Moncaleano University Hospital, Neiva, Colombia); Parra, Mario Alfredo (University of Strathclyde)",0,0,,,https://content.iospress.com:443/download/journal-of-alzheimers-disease-reports/adr230041?id=journal-of-alzheimers-disease-reports%2Fadr230041,https://app.dimensions.ai/details/publication/pub.1167519693,42 Health Sciences; 4203 Health Services and Systems,4 Quality Education
